accepted_plant_name_id,taxon_name,taxon_authors,cultivation.lin2019,life.form.integrated,WorldCuP.n.tdwg3,nat.extent,nat.incidence,native.global.tdwg3,planting.China.tdwg3
2709949,Cerastium arvense,L.,yes,perennial herb,19,12,1,46,1
2710019,Cerastium baischanense,Y.C.Chu,no,perennial herb,0,0,0,1,0
2766211,Dichodon cerastoides,(L.) Rchb.,no,perennial herb,7,0,0,53,0
2710201,Cerastium davuricum,Fisch. ex Spreng.,no,perennial herb,5,0,0,20,0
2710301,Cerastium falcatum,(Gren.) Bunge ex Fenzl,no,perennial herb,2,0,0,11,0
2710355,Cerastium furcatum,Cham. & Schltdl.,yes,perennial herb,0,0,0,15,1
2710370,Cerastium glomeratum,Thuill.,yes,annual herb,5,91,1,73,2
2710540,Cerastium limprichtii,Pax & K.Hoffm.,no,perennial herb,0,0,0,1,0
2710543,Cerastium lithospermifolium,Fisch.,no,perennial herb,0,0,0,12,0
2710623,Cerastium morrisonense,Hayata,no,perennial herb,0,0,0,1,0
2710709,Cerastium parvipetalum,Hosok.,no,perennial herb,0,0,0,1,0
2710711,Cerastium pauciflorum,Steven ex Ser.,no,perennial herb,2,0,0,19,0
2710782,Cerastium pusillum,Ser.,no,perennial herb,0,0,0,18,0
2710901,Cerastium subpilosum,Hayata,no,perennial herb,0,0,0,1,0
2710923,Cerastium szechuense,F.N.Williams,no,annual herb,0,0,0,1,0
2710927,Cerastium takasagomontanum,Masam.,no,annual herb,0,0,0,1,0
2710950,Cerastium thomsonii,Hook.f.,no,perennial herb,0,0,0,6,0
2710951,Cerastium tianschanicum,Schischk.,no,perennial herb,1,0,0,6,0
2711048,Cerastium wilsonii,Takeda,no,perennial herb,0,0,0,3,0
2959051,Prunus campanulata,Maxim.,yes,woody,17,4,1,3,3
2959187,Prunus cerasoides,Buch.-Ham. ex D.Don,yes,woody,8,1,1,10,3
2959316,Prunus clarofolia,C.K.Schneid.,yes,woody,4,0,0,5,3
2959404,Prunus conadenia,Koehne,yes,woody,1,0,0,5,2
2959406,Prunus conradinae,Koehne,yes,woody,8,0,0,3,3
2959427,Prunus crataegifolia,Hand.-Mazz.,no,woody,0,0,0,2,0
2959440,Prunus cyclamina,Koehne,no,woody,10,0,0,2,0
2959496,Prunus dictyoneura,Diels,yes,woody,0,0,0,2,2
2961449,Prunus rufoides,C.K.Schneid.,yes,woody,5,0,0,2,2
2959503,Prunus discadenia,Koehne,no,woody,0,0,0,3,0
2959505,Prunus discoidea,(T.T.Yu & C.L.Li) Z.Wei & Y.B.Chang,yes,woody,0,0,0,1,2
2959793,Prunus fruticosa,Pall.,yes,woody,22,5,1,17,4
2959828,Prunus glandulosa,Thunb.,yes,woody,46,8,1,4,5
3236922,Prunus hefengensis,(X.R.Wang & C.B.Shang) Y.H.Tong & N.H.Xia,no,NA,0,0,0,1,0
2959890,Prunus henryi,(C.K.Schneid.) Koehne,no,woody,0,0,0,1,0
2961271,Prunus prostrata,Labill.,yes,woody,8,0,0,15,5
2960228,Prunus japonica,Thunb.,yes,woody,29,0,0,4,5
2960659,Prunus maximowiczii,Rupr.,yes,woody,16,0,0,7,1
2960731,Prunus mugus,Hand.-Mazz.,no,woody,3,0,0,1,0
2961101,Prunus patentipila,Hand.-Mazz.,yes,woody,0,0,0,1,1
2961238,Prunus pleiocerasus,Koehne,no,woody,1,0,0,1,0
2961247,Prunus pogonostyla,Maxim.,yes,woody,0,0,0,3,2
2961260,Prunus polytricha,Koehne,yes,woody,0,0,0,3,1
2961309,Prunus pseudocerasus,Lindl.,yes,woody,10,0,0,4,5
2961397,Prunus pusilliflora,Cardot,no,woody,0,0,0,1,0
2961564,Prunus schneideriana,Koehne,yes,woody,0,0,0,1,1
2961628,Prunus serrula,Franch.,yes,woody,26,0,0,3,3
